alt,vel
1200,228.13975
1221.2121,226.63562
1242.4242,225.13479
1263.6364,223.63411
1284.8485,222.13367
1306.0606,220.63321
1327.2727,219.13249
1348.4848,217.63156
1369.697,216.12998
1390.9091,214.62781
1412.1212,213.12502
1433.3333,211.62107
1454.5455,210.11617
1475.7576,208.60991
1496.9697,207.10218
1518.1818,205.59298
1539.3939,204.08196
1560.6061,202.56889
1581.8182,201.05398
1603.0303,199.53656
1624.2424,198.01689
1645.4545,196.49459
1666.6667,194.96925
1687.8788,193.44122
1709.0909,191.90997
1730.303,190.37507
1751.5152,188.83697
1772.7273,187.29487
1793.9394,185.74889
1815.1515,184.19874
1836.3636,182.64413
1857.5758,181.0849
1878.7879,179.52092
1900,177.95167
1921.2121,176.37714
1942.4242,174.79716
1963.6364,173.21122
1984.8485,171.61922
2006.0606,170.02084
2027.2727,168.41578
2048.4848,166.80377
2069.697,165.18451
2090.9091,163.55766
2112.1212,161.92294
2133.3333,160.27996
2154.5455,158.62838
2175.7576,156.96782
2196.9697,155.29799
2218.1818,153.6183
2239.3939,151.92845
2260.6061,150.22802
2281.8182,148.51657
2303.0303,146.79346
2324.2424,145.05842
2345.4545,143.31071
2366.6667,141.54989
2387.8788,139.77531
2409.0909,137.9864
2430.303,136.18245
2451.5152,134.36282
2472.7273,132.52672
2493.9394,130.67338
2515.1515,128.80199
2536.3636,126.91164
2557.5758,125.00137
2578.7879,123.0702
2600,121.11701
2621.2121,119.14066
2642.4242,117.13983
2663.6364,115.1132
2684.8485,113.0593
2706.0606,110.97652
2727.2727,108.86305
2748.4848,106.71711
2769.697,104.53651
2790.9091,102.31898
2812.1212,100.06196
2833.3333,97.762702
2854.5455,95.418024
2875.7576,93.024385
2896.9697,90.577909
2918.1818,88.015979
2939.3939,85.481449
2960.6061,82.848945
2981.8182,80.140861
3003.0303,77.34987
3024.2424,74.466649
3045.4545,71.434764
3066.6667,68.330873
3087.8788,65.094804
3109.0909,61.704579
3130.303,58.055858
3151.5152,54.268402
3172.7273,50.221118
3193.9394,45.712674
3215.1515,40.902467
3236.3636,35.286864
3257.5758,28.613436
3278.7879,20.152737
3300,-5.6427664
